DATE(MEAN)	DATE(MODE)	WHO(MODE)	PATH
2004-01-30	1998-12-22	Guido van Rossum	Lib/netrc.py
2004-02-01	1997-11-21	Guido van Rossum	Lib/fileinput.py
2004-02-13	2000-06-29	Guido van Rossum	Lib/tkinter/__init__.py
2004-03-13	1996-06-26	Guido van Rossum	Lib/nturl2path.py
2004-03-14	2000-03-10	Marc-André Lemburg	Tools/unicode/gencodec.py
2004-03-25	2004-08-29	Tim Peters	Lib/difflib.py
2004-04-02	2003-01-01	Guido van Rossum	Tools/scripts/byext.py
2004-04-04	2003-01-25	Martin v. Löwis	Lib/xml/dom/minicompat.py
2004-04-06	2000-04-04	Greg Ward	Lib/distutils/dep_util.py
2004-04-06	2003-12-13	Neal Norwitz	Lib/test/badsyntax_future8.py
2004-04-06	2003-12-13	Neal Norwitz	Lib/test/badsyntax_future9.py
2004-04-07	2000-03-10	Guido van Rossum	Lib/codecs.py
2004-04-28	2002-06-04	Jeremy Hylton	Lib/distutils/log.py
2004-04-29	1995-10-11	Guido van Rossum	Modules/parsermodule.c
2004-05-04	1994-01-07	Guido van Rossum	Tools/scripts/fixheader.py
2004-05-04	2002-08-17	Guido van Rossum	Lib/test/tf_inherit_check.py
2004-05-15	2001-04-21	Guido van Rossum	Lib/test/test_iter.py
2004-05-18	2001-10-03	Guido van Rossum	Include/descrobject.h
2004-05-23	2003-04-18	Tim Peters	Tools/scripts/combinerefs.py
2004-06-02	2003-05-13	Andrew M. Kuchling	Tools/scripts/md5sum.py
2004-06-04	2001-06-19	Barry Warsaw	Lib/test/test_quopri.py
2004-06-06	2002-08-01	Tim Peters	Objects/listsort.txt
2004-06-11	2001-08-12	Jeremy Hylton	Lib/test/test_unary.py
2004-06-15	2001-08-02	Guido van Rossum	Lib/test/test_importlib/test_pkg_import.py
2004-06-15	2004-01-17	Hye-Shik Chang	Modules/cjkcodecs/README
2004-06-19	1996-05-22	Guido van Rossum	Include/pydebug.h
2004-06-22	2004-10-30	Tim Peters	Modules/gc_weakref.txt
2004-06-25	2003-04-18	Martin v. Löwis	Tools/unicode/mkstringprep.py
2004-06-26	2020-02-07	Guido van Rossum	Include/listobject.h
2004-06-27	1992-06-29	Guido van Rossum	Modules/_dbmmodule.c
2004-07-03	2004-07-01	Raymond Hettinger	Lib/test/decimaltestdata/randomBound32.decTest
2004-07-04	2000-08-15	David Scherer	Lib/idlelib/searchengine.py
2004-07-05	2000-06-29	Fred Drake	Lib/xml/sax/saxutils.py
2004-07-10	2004-07-01	Raymond Hettinger	Lib/test/decimaltestdata/randoms.decTest
2004-07-14	2017-05-16	Guido van Rossum	Lib/bdb.py
2004-07-15	2002-02-12	Martin v. Löwis	Modules/expat/expat.h
2004-07-15	2004-07-01	Raymond Hettinger	Lib/test/decimaltestdata/rescale.decTest
2004-07-16	2004-07-01	Raymond Hettinger	Lib/test/decimaltestdata/inexact.decTest
2004-07-18	2004-07-18	Hye-Shik Chang	Modules/cjkcodecs/mappings_tw.h
2004-07-19	2004-07-18	Hye-Shik Chang	Modules/cjkcodecs/mappings_jp.h
2004-07-20	2004-07-18	Hye-Shik Chang	Modules/cjkcodecs/mappings_cn.h
2004-07-21	2004-07-18	Hye-Shik Chang	Modules/cjkcodecs/mappings_kr.h
2004-07-22	2000-03-10	Guido van Rossum	Include/codecs.h
2004-07-26	2004-07-01	Raymond Hettinger	Lib/test/decimaltestdata/remainder.decTest
2004-07-28	2000-08-31	Jeremy Hylton	Tools/scripts/find_recursionlimit.py
2004-07-28	2003-04-21	Greg Ward	Lib/test/test_optparse.py
2004-08-01	2001-09-20	Marc-André Lemburg	Lib/encodings/utf_7.py
2004-08-02	2004-07-01	Raymond Hettinger	Lib/test/decimaltestdata/remainderNear.decTest
2004-08-02	2004-07-01	Raymond Hettinger	Lib/test/decimaltestdata/subtract.decTest
2004-08-08	2002-05-26	Kurt B. Kaiser	Lib/idlelib/rpc.py
2004-08-12	2000-05-25	Greg Ward	Lib/distutils/command/build_scripts.py
2004-08-13	1996-01-12	Guido van Rossum	Objects/complexobject.c
2004-08-15	1999-08-14	Greg Ward	Lib/distutils/command/build_ext.py
